Year,Team,League,G,RegWPct,PostSeason,W,WPct,AB,R,H,x2B,x3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
2010,Cincinnati Reds,NL,31,0.562,1,12,0.429,1070,158,277,70,7,40,147,97,210,28,11,0.259,0.325,0.45,0.774
2010,Oakland Athletics,AL,32,0.5,0,12,0.414,1106,171,286,62,11,29,162,131,216,23,7,0.259,0.341,0.413,0.755
2010,Pittsburgh Pirates,NL,29,0.352,0,7,0.25,1003,138,248,43,10,33,132,85,216,16,9,0.247,0.309,0.409,0.718
2011,Milwaukee Brewers,NL,31,0.593,1,19,0.633,1123,191,361,63,16,31,179,90,195,24,13,0.321,0.375,0.489,0.864
2011,Kansas City Royals,AL,31,0.438,0,20,0.667,1086,220,334,70,10,44,208,123,193,55,22,0.308,0.382,0.512,0.894
2011,Texas Rangers,AL,30,0.593,1,13,0.448,1087,188,327,82,8,34,180,85,189,15,10,0.301,0.353,0.485,0.837
2011,Arizona Diamondbacks,NL,37,0.58,1,12,0.324,1312,206,394,87,6,42,197,100,264,22,19,0.3,0.355,0.472,0.827
2011,San Diego Padres,NL,31,0.438,0,13,0.433,1091,187,327,77,6,34,177,99,185,39,13,0.3,0.359,0.475,0.834
2011,Cincinnati Reds,NL,32,0.488,0,17,0.548,1134,201,337,67,5,41,191,92,217,23,10,0.297,0.354,0.474,0.828
2011,Colorado Rockies,NL,32,0.451,0,20,0.645,1109,177,323,69,15,22,159,113,185,34,20,0.291,0.361,0.44,0.801
2011,Toronto Blue Jays,AL,31,0.5,0,16,0.533,1074,152,310,68,9,27,139,79,207,36,10,0.289,0.338,0.444,0.782
2011,Los Angeles Angels,AL,32,0.531,0,18,0.581,1098,177,311,76,8,28,167,98,217,40,13,0.283,0.346,0.444,0.79
2011,Chicago White Sox,AL,32,0.488,0,11,0.355,1119,172,314,72,12,39,165,107,224,22,15,0.281,0.348,0.471,0.819
2011,Baltimore Orioles,AL,32,0.426,0,15,0.5,1126,181,315,74,6,42,175,93,226,18,3,0.28,0.334,0.468,0.802
2011,New York Mets,NL,34,0.475,0,17,0.531,1178,175,326,73,3,31,161,105,225,22,13,0.277,0.339,0.423,0.762
2011,Washington Nationals,NL,29,0.497,0,15,0.517,987,155,273,58,5,31,145,110,174,26,11,0.277,0.355,0.44,0.795
2011,Cleveland Indians,AL,31,0.494,0,15,0.517,1082,177,296,70,9,32,162,122,213,23,6,0.274,0.355,0.444,0.798
2011,Florida Marlins,NL,31,0.444,0,15,0.5,1071,133,291,72,5,11,124,94,188,10,4,0.272,0.333,0.379,0.712
2011,Chicago Cubs,NL,33,0.438,0,14,0.424,1158,169,314,69,5,27,161,119,202,7,8,0.271,0.343,0.409,0.752
2011,Tampa Bay Rays,AL,31,0.562,1,15,0.517,1042,154,279,60,7,34,146,89,198,44,12,0.268,0.329,0.437,0.766
2011,Detroit Tigers,AL,34,0.586,1,20,0.588,1152,147,306,66,9,24,135,123,217,10,7,0.266,0.338,0.401,0.739
2011,Pittsburgh Pirates,NL,33,0.444,0,12,0.364,1102,141,292,61,5,24,133,103,247,27,19,0.265,0.329,0.395,0.724
2011,Houston Astros,NL,35,0.346,0,11,0.314,1207,144,319,69,12,21,130,80,226,18,7,0.264,0.315,0.394,0.708
2011,San Francisco Giants,NL,35,0.531,0,23,0.657,1201,168,317,60,12,32,155,87,246,32,4,0.264,0.32,0.414,0.733
2011,Minnesota Twins,AL,32,0.389,0,20,0.625,1085,137,284,67,8,19,129,99,198,25,8,0.262,0.328,0.391,0.718
2011,St. Louis Cardinals,NL,31,0.556,1,14,0.467,1069,132,279,57,5,19,122,77,165,16,4,0.261,0.314,0.377,0.691
2011,Boston Red Sox,AL,35,0.556,0,14,0.424,1212,156,316,58,11,28,146,110,248,21,3,0.261,0.325,0.396,0.721
2011,Philadelphia Phillies,NL,35,0.63,1,21,0.6,1196,170,309,60,10,37,158,100,222,26,8,0.258,0.317,0.418,0.735
2011,Los Angeles Dodgers,NL,36,0.509,0,14,0.4,1224,145,314,64,7,29,134,90,244,28,7,0.257,0.31,0.391,0.701
2011,Oakland Athletics,AL,34,0.457,0,12,0.364,1157,171,296,52,5,27,156,132,222,18,6,0.256,0.336,0.379,0.716
2011,Seattle Mariners,AL,31,0.414,0,16,0.552,1042,159,265,58,7,27,152,99,249,22,19,0.254,0.324,0.401,0.725
2011,New York Yankees,AL,31,0.599,1,13,0.464,1020,127,258,54,7,25,116,97,192,23,16,0.253,0.32,0.393,0.713
2011,Atlanta Braves,NL,34,0.549,0,17,0.567,1148,142,285,56,5,18,128,103,212,12,5,0.248,0.313,0.353,0.666
2012,Seattle Mariners,AL,26,0.463,0,16,0.64,907,162,269,55,11,28,151,86,197,19,9,0.297,0.362,0.474,0.836
2012,Kansas City Royals,AL,32,0.444,0,16,0.5,1111,163,328,73,6,34,152,84,195,37,10,0.295,0.347,0.464,0.81
2012,Los Angeles Angels,AL,33,0.549,0,19,0.613,1129,184,333,61,13,37,171,85,213,23,19,0.295,0.344,0.47,0.814
2012,San Diego Padres,NL,36,0.469,0,20,0.556,1249,201,361,87,10,42,188,119,276,23,16,0.289,0.358,0.476,0.834
2012,Texas Rangers,AL,30,0.574,1,12,0.414,1048,156,301,63,7,25,143,99,185,12,15,0.287,0.352,0.432,0.784
2012,Oakland Athletics,AL,24,0.58,1,15,0.682,841,145,239,56,6,29,134,94,176,16,8,0.284,0.356,0.468,0.825
2012,Philadelphia Phillies,NL,34,0.5,0,14,0.467,1179,150,333,79,8,24,142,80,178,30,11,0.282,0.336,0.424,0.761
2012,Detroit Tigers,AL,33,0.543,1,20,0.714,1148,195,324,51,13,46,182,114,217,17,6,0.282,0.346,0.47,0.815
2012,Chicago White Sox,AL,33,0.525,0,14,0.438,1142,166,322,55,10,27,151,99,246,17,16,0.282,0.342,0.419,0.761
2012,Toronto Blue Jays,AL,32,0.451,0,24,0.774,1126,191,317,81,9,32,179,95,235,34,9,0.282,0.342,0.455,0.797
2012,Chicago Cubs,NL,35,0.377,0,17,0.515,1235,188,347,89,14,39,175,92,235,34,18,0.281,0.332,0.47,0.803
2012,Los Angeles Dodgers,NL,34,0.532,0,15,0.5,1142,164,317,61,14,21,155,102,233,23,10,0.278,0.344,0.411,0.754
2012,Boston Red Sox,AL,31,0.426,0,16,0.593,1068,158,296,74,8,24,144,85,214,34,11,0.277,0.335,0.429,0.764
2012,St. Louis Cardinals,NL,27,0.543,1,16,0.64,919,127,254,58,6,19,120,94,172,26,8,0.276,0.345,0.415,0.76
2012,Minnesota Twins,AL,34,0.407,0,18,0.545,1184,172,327,60,7,33,164,117,213,21,8,0.276,0.344,0.422,0.767
2012,Colorado Rockies,NL,33,0.395,0,17,0.531,1133,176,312,82,10,27,165,80,221,25,15,0.275,0.328,0.437,0.765
